CustomerID,BaseCharges,DOC,TotalCharges,DOE,ElectronicBilling,ContractType,PaymentMethod
Cust1450,417.75,05-01-2012,3400.25,10-May-11,Yes,Month-to-month,Electronic check
Cust4452,500,05-01-2012,7673.75,12-Sep-10,Yes,Month-to-month,Electronic check
Cust1681,394,05-01-2012,8206.5,15-May-10,No,Month-to-month,Electronic check
Cust4761,398.75,05-01-2012,5559.25,12-Oct-10,Yes,Month-to-month,Electronic check
Cust1785,447.25,05-01-2012,4265.5,10-Apr-11,No,Month-to-month,Electronic check
Cust2751,97.25,05-01-2012,1704.25,12-Oct-10,Yes,Month-to-month,Credit card (automatic)
Cust2980,371,05-01-2012,700.5,06-Nov-11,Yes,Month-to-month,Electronic check
Cust4884,308,05-01-2012,5871.75,15-May-10,Yes,Month-to-month,Mailed check
Cust4125,540.25,05-01-2012,35594.5,03-Sep-06,Yes,One year,Credit card (automatic)
Cust4630,450.25,05-01-2012,29085,02-Nov-06,Yes,One year,Credit card (automatic)
Cust5240,405.5,05-01-2012,405.5,06-Dec-11,Yes,Month-to-month,Electronic check
Cust5448,355.75,05-01-2012,2818.25,10-May-11,No,Month-to-month,Electronic check
Cust5964,350.75,05-01-2012,22403.5,03-Oct-06,Yes,One year,Mailed check
Cust6420,582,05-01-2012,42716.25,05-Feb-06,Yes,Two year,Credit card (automatic)
Cust3300,98.75,05-01-2012,98.75,06-Dec-11,No,Month-to-month,Electronic check
Cust2838,97.75,05-01-2012,2719,17-Sep-09,Yes,Month-to-month,Bank transfer (automatic)
Cust2925,130,05-01-2012,3420.25,16-Nov-09,No,One year,Mailed check
Cust5877,501,05-01-2012,2101,07-Sep-11,Yes,Month-to-month,Electronic check
Cust1705,417.5,05-01-2012,27175,02-Nov-06,No,Two year,Credit card (automatic)
Cust4102,500.75,05-01-2012,7075,12-Oct-10,Yes,Month-to-month,Electronic check
Cust6209,284,05-01-2012,5373.25,14-Jul-10,No,Month-to-month,Credit card (automatic)
Cust2155,424,05-01-2012,19312.75,25-May-08,Yes,Month-to-month,Bank transfer (automatic)
Cust2871,547.5,05-01-2012,37673.25,06-Apr-06,Yes,One year,Bank transfer (automatic)
Cust4297,99,05-01-2012,3475.25,21-Dec-08,Yes,One year,Electronic check
Cust1965,475.75,05-01-2012,4988.25,09-Feb-11,Yes,Month-to-month,Bank transfer (automatic)
Cust2280,102,05-01-2012,5453,30-Jul-07,No,Two year,Credit card (automatic)
Cust4551,445.75,05-01-2012,11288.75,16-Dec-09,Yes,Month-to-month,Bank transfer (automatic)
Cust3784,372.75,05-01-2012,5852.5,12-Sep-10,Yes,Month-to-month,Credit card (automatic)
Cust3703,472.25,05-01-2012,25213.75,29-Aug-07,Yes,One year,Credit card (automatic)
Cust5549,472,05-01-2012,21476.75,25-May-08,No,One year,Electronic check
Cust2739,394.25,05-01-2012,15634.25,22-Sep-08,Yes,Month-to-month,Credit card (automatic)
Cust3032,128.5,05-01-2012,128.5,06-Dec-11,Yes,Month-to-month,Electronic check
Cust2396,417.75,05-01-2012,6645.75,13-Aug-10,Yes,Month-to-month,Electronic check
Cust4729,472,05-01-2012,14193.5,19-Jul-09,Yes,Month-to-month,Electronic check
Cust4130,439.5,05-01-2012,7502.5,14-Jul-10,Yes,Month-to-month,Mailed check
Cust3000,324.25,05-01-2012,14541,24-Jun-08,Yes,One year,Bank transfer (automatic)
Cust4202,304.75,05-01-2012,673,06-Nov-11,No,Month-to-month,Bank transfer (automatic)
Cust6249,254.75,05-01-2012,1036.75,07-Sep-11,Yes,Month-to-month,Credit card (automatic)
Cust1541,501.25,05-01-2012,5323.25,11-Mar-11,Yes,Month-to-month,Electronic check
Cust4988,294.5,05-01-2012,19285.5,03-Sep-06,No,Two year,Credit card (automatic)
Cust2464,527.75,05-01-2012,28411.25,29-Aug-07,No,Two year,Electronic check
Cust4304,530.75,05-01-2012,22563.5,24-Jul-08,Yes,Month-to-month,Bank transfer (automatic)
Cust3429,122,05-01-2012,122,06-Dec-11,No,Month-to-month,Mailed check
Cust2987,97,05-01-2012,2627.75,16-Nov-09,No,One year,Mailed check
Cust3969,97.5,05-01-2012,5252.5,29-Aug-07,No,Two year,Credit card (automatic)
Cust4007,482.5,05-01-2012,17180.5,20-Jan-09,Yes,Month-to-month,Electronic check
Cust5805,223.75,05-01-2012,740.25,07-Oct-11,No,Month-to-month,Mailed check
Cust4702,198.25,05-01-2012,3666.75,14-Jun-10,Yes,Month-to-month,Electronic check
Cust5828,448,05-01-2012,1828.25,07-Sep-11,No,Month-to-month,Mailed check
Cust5806,150.5,05-01-2012,4054.25,17-Sep-09,Yes,Month-to-month,Credit card (automatic)
Cust2829,504.5,05-01-2012,37295.25,05-Feb-06,Yes,Two year,Bank transfer (automatic)
Cust1763,520.75,05-01-2012,36826.5,07-Mar-06,Yes,Two year,Credit card (automatic)
Cust3686,358.25,05-01-2012,678.75,06-Nov-11,Yes,Month-to-month,Electronic check
Cust5664,470.5,05-01-2012,31514,05-Jul-06,No,Two year,Credit card (automatic)
Cust4869,449,05-01-2012,32552.25,05-Feb-06,No,Two year,Credit card (automatic)
Cust3162,96.25,05-01-2012,3088.25,19-Feb-09,No,Month-to-month,Bank transfer (automatic)
Cust2432,309.75,05-01-2012,5353.5,13-Aug-10,Yes,One year,Mailed check
Cust4594,433.25,05-01-2012,4283.25,11-Mar-11,Yes,Month-to-month,Electronic check
Cust1738,306,05-01-2012,21951.25,05-Feb-06,Yes,Two year,Credit card (automatic)
