"HouseholdID","Country","State","Retired","HasPartner","HasDependents","Education","Gender"
"Cust5390","India","Maharashtra",0,2,2,"Graduation","Female"
"Cust4417","India","Maharashtra",1,1,2,"Highschool or below","Male"
"Cust4377","India","Maharashtra",0,1,2,"Highschool or below","Female"
"Cust5271","India","Maharashtra",0,2,2,"Masters","Female"
"Cust4914","India","Maharashtra",0,1,2,"Highschool or below","Female"
"Cust1275","India","Maharashtra",0,2,2,"Highschool or below","Female"
"Cust4688","India","Maharashtra",0,1,1,"ProfessionalQalification","Female"
"Cust5515","India","Maharashtra",0,1,1,"Masters","Female"
"Cust4145","India","Maharashtra",0,2,2,"Masters","Female"
"Cust6066","India","Maharashtra",1,2,2,"ProfessionalQalification","Male"
"Cust5008","India","Maharashtra",0,2,2,"Graduation","Male"
"Cust5489","India","Maharashtra",0,2,1,"Graduation","Female"
"Cust5672","India","Maharashtra",0,2,2,"Masters","Female"
"Cust3002","India","Maharashtra",0,2,1,"Graduation","Male"
"Cust1302","India","Maharashtra",0,1,1,"Highschool or below","Male"
"Cust5954","India","Maharashtra",0,1,2,"Graduation","Female"
"Cust1720","India","Maharashtra",1,1,2,"ProfessionalQalification","Female"
"Cust2045","India","Maharashtra",0,1,2,"Masters","Male"
"Cust3760","India","Maharashtra",0,1,1,"Graduation","Male"
"Cust4177","India","Maharashtra",0,1,2,"Masters","Male"
"Cust3789","India","Maharashtra",0,2,2,"Graduation","Female"
"Cust4004","India","Maharashtra",0,2,2,"Graduation","Female"
"Cust2512","India","Maharashtra",0,2,2,"Graduation","Male"
"Cust3260","India","Maharashtra",0,1,1,"Masters","Male"
"Cust1215","India","Maharashtra",0,2,2,"ProfessionalQalification","Female"
"Cust1965","India","Maharashtra",1,2,2,"Highschool or below","Female"
"Cust1992","India","Maharashtra",0,1,1,"Graduation","Female"
"Cust3882","India","Maharashtra",0,1,2,"Graduation","Male"
"Cust3403","India","Maharashtra",0,1,1,"Highschool or below","Male"
"Cust3540","India","Maharashtra",0,1,2,"Highschool or below","Female"
