"CustomerID","TypeOfService","SeviceDetails"
"Cust2034","MultipleLines","No"
"Cust4545","OnlineSecurity","No internet service"
"Cust2067","StreamingTelevision","No internet service"
"Cust1885","OnlineSecurity","No internet service"
"Cust4663","MultipleLines","No"
"Cust2201","MultipleLines","No"
"Cust6495","OnlineSecurity","Yes"
"Cust2755","DeviceProtection","No"
"Cust5725","DeviceProtection","No"
"Cust3531","StreamingTelevision","No internet service"
"Cust2069","InternetServiceCategory","No"
"Cust1985","StreamingMovies","No"
"Cust5017","StreamingMovies","No"
"Cust1882","StreamingTelevision","No"
"Cust2394","DeviceProtection","No internet service"
"Cust2761","StreamingTelevision","No"
"Cust2493","MultipleLines","No phone service"
"Cust3268","HasPhoneService","1"
"Cust5334","DeviceProtection","No"
"Cust4603","StreamingMovies","No internet service"
"Cust6081","TechnicalSupport","Yes"
"Cust5667","DeviceProtection","Yes"
"Cust1384","HasPhoneService","1"
"Cust2168","DeviceProtection","Yes"
"Cust1484","StreamingMovies","Yes"
"Cust3865","TechnicalSupport","Yes"
"Cust4731","HasPhoneService","1"
"Cust3679","OnlineSecurity","No internet service"
"Cust1350","MultipleLines","No"
"Cust2561","TechnicalSupport","No"
"Cust2905","InternetServiceCategory","No"
"Cust3445","StreamingMovies","Yes"
"Cust6460","HasPhoneService","1"
"Cust4037","OnlineBackup","Yes"
"Cust3468","OnlineBackup","Yes"
"Cust1386","HasPhoneService","1"
"Cust4328","InternetServiceCategory","No"
"Cust5543","HasPhoneService","1"
"Cust2333","StreamingMovies","Yes"
"Cust5157","DeviceProtection","No"
"Cust4446","MultipleLines","No"
"Cust4170","HasPhoneService","0"
"Cust3525","TechnicalSupport","Yes"
"Cust2018","OnlineBackup","No internet service"
"Cust5225","StreamingMovies","No internet service"
"Cust2798","StreamingTelevision","No"
"Cust2000","TechnicalSupport","No"
"Cust2621","StreamingTelevision","Yes"
"Cust1571","TechnicalSupport","No"
"Cust5297","HasPhoneService","1"
"Cust6374","InternetServiceCategory","No"
"Cust4792","StreamingMovies","No internet service"
"Cust3293","OnlineSecurity","No internet service"
"Cust2532","TechnicalSupport","No internet service"
"Cust5812","OnlineSecurity","No"
"Cust4093","HasPhoneService","1"
"Cust3341","MultipleLines","No"
"Cust3818","DeviceProtection","No"
"Cust2522","StreamingTelevision","Yes"
"Cust1989","StreamingTelevision","Yes"
"Cust3326","InternetServiceCategory","Fiber optic"
"Cust6079","StreamingTelevision","Yes"
"Cust4208","OnlineBackup","No"
"Cust5789","OnlineSecurity","Yes"
"Cust4242","OnlineBackup","No internet service"
"Cust4947","OnlineSecurity","No"
"Cust6277","OnlineBackup","No internet service"
"Cust5549","MultipleLines","Yes"
"Cust4802","TechnicalSupport","Yes"
"Cust3010","HasPhoneService","1"
"Cust5404","OnlineBackup","No internet service"
"Cust3017","MultipleLines","No"
"Cust4452","StreamingMovies","Yes"
